	MLS16-13969-A2	MLS16-14353-A2	MS13-12480-B1	MS13-13904-A4	MS13-22090-A7	MS13-3651-B1	MS14-15702-A2	MS15-18215-A2	MS16-1383-A7	MS16-4507-A2	MS16-8096-A1	MLS16-24883-D1	MLS16-23390-C5	MS13-18727-C13	MS14-3317-I15	MLS16-16541-I8	MLS16-16928-H2	MLS16-21013-B4	MS16-4698-H30	MLS16-23752-C7	MLS16-24950-K3	MLS17-8288-I16	MLS17-10990-N9	MS14-10799-C14	MS15-19663-H15	MLS16-23764-D6	MS14-18376-B4	MS13-6884-K7	MS13-23696-G11	MS14-18625-N20	MLS17-12838-G5	MS13-17959-C23	MS16-460-G11	MLS16-18386-I8	MS13-14140-A16	MS14-4637-C7	MLS17-04999-F7	MS13-13729-A16	MS15-16859-A8	MLS17-06946-B5	SRH14-3861-E3-1909-113	NS-15-04293-A3-1909-114	SRH16-8466-B1-1909-117	RS16-4672-A1-1909-119	S16-11828-1909-121	13-304-V81-0016-0-1909-122	CHY-12-002872-1909-124	C516-5623A3-1909-125	D513-009920-1909-126	S12-25296-2-1909-127	S14-7061-2A-1909-129	S16-10584-A1-1909-130	S16-6579-A1-1909-131	SG12-8188-2C-1909-133	SRH16-2144-3-1909-135	SU13-00927-A1-1909-136	SU13-05653-A6-1909-137	SU-16-04064-A4-1909-138	SZB15-119-1A-1909-139
SLC9A2	5.858320888	5.36742284	6.10438229	0	5.018348488	1.932025057	2.570379424	3.291007615	2.918562074	2.994020184	5.909870318	1.039948597	1.746979406	0	3.126927623	0	0	2.399037138	0	0	1.954788793	0	0	0	4.4868305	5.334795935	4.755548965	4.264001222	4.76354978	0	3.387729982	0	2.358352949	0	4.098004464	5.019325438	2.858967032	4.612384047	0	3.326762235	3.013684389	2.427519587	4.896905783	5.212191548	3.903900259	0	3.000521062	7.11811535	5.585969514	5.222123546	1.939913019	3.229768439	4.453483896	5.709857976	3.18839651	5.350600256	5.389414417	4.078709396	1.691106596
TOX3	6.215354091	3.747833679	3.417653413	0	6.111947672	2.729402447	0	4.05635742	0	2.766755832	4.753474661	0	2.514274103	0	5.283251173	0	0	2.744020475	0	4.219542886	0	0	0	0	7.375524095	4.492052394	2.26990269	4.513159019	4.485798096	0	6.204631333	0	0	2.721266108	2.390484663	4.179323447	3.286428695	5.634150582	1.792169973	3.56563089	3.703722413	1.5494513	1.749538483	6.519053482	2.723406899	0	6.032506841	6.625800851	2.872180465	3.144501587	1.813801762	6.23569936	5.106649054	6.358213038	5.861370915	5.942278815	4.895196069	5.866000705	0.598741085
FBP1	0	7.230835711	6.77456941	5.165504794	6.139178896	4.137675938	6.027143663	6.50695913	4.837221342	6.094801712	5.876689351	3.428869736	4.463470183	5.643356359	6.056789165	0	5.757523359	6.184216467	5.68844	4.752482763	4.511368155	5.63816158	7.491032323	4.679588048	8.846301606	6.874639313	7.274545075	5.936087922	6.778189977	4.396901519	7.450437208	4.596688281	5.910871586	7.539976156	5.865053223	6.491568297	5.631691163	6.37284933	3.821494864	7.014317434	7.081601932	5.269692598	5.157826429	7.756181494	6.487820441	5.175638171	7.348917616	7.3576	7.240350678	6.204760872	4.171603231	8.382464539	7.519620649	7.228706605	8.166246292	7.552339307	7.160229304	7.329242694	4.007994289
TBX2	6.62552933	9.339194373	9.875865802	5.898946631	9.521577813	5.605683432	5.806160986	7.590843127	6.201976303	6.721148996	8.096570231	5.673423971	6.742070616	7.301446595	7.644155232	4.912635546	5.280543487	8.110970976	5.806494428	5.380125459	4.414252491	4.777944302	7.075227328	5.050511026	6.992918363	7.982933995	7.343346687	6.870408753	9.293961824	4.931212545	7.435904105	5.566563084	6.628883604	6.300795515	6.666288411	6.315649954	6.751560976	6.914100127	5.238214965	8.664282518	7.245305352	4.898124917	4.746310144	7.410634874	7.789473973	5.95380469	5.729123229	9.042264222	7.969861412	4.994220924	6.375044719	8.442297269	7.299851359	8.820152636	6.22164703	8.74883227	5.968255787	7.639091219	4.286748278
CDK6	11.59999297	4.71462345	7.568925078	8.21326357	3.825668152	6.176646839	9.607757072	6.48631162	6.98018478	9.917488617	5.717138606	5.724748061	4.311241893	10.46321904	4.882012935	8.202729444	6.401877851	5.512381284	5.941652611	7.562635935	5.195056974	9.644125945	7.581056859	8.789908183	3.420773862	5.017507673	4.040702859	4.432489267	4.668620846	8.266339139	4.127551584	8.973296888	5.536248973	4.620249169	7.135511416	5.192327571	6.272591969	4.724759342	7.302260147	7.237995385	8.106213477	7.135700121	5.261425001	3.285248956	4.986329549	11.38864092	6.697873272	4.2074975	4.709312829	4.618474678	5.565373333	5.335284064	4.528597561	7.533112259	3.059500437	5.687598949	5.377292698	5.287608437	5.951168524
CAPN5	7.426608599	7.721683063	8.239528754	2.95785449	7.642274982	4.722564658	6.230641927	7.278971321	4.711489565	5.637157127	6.763592422	3.260214553	4.864499328	8.319163685	7.378487272	6.597715139	2.999550839	5.627736667	5.933025519	7.783937769	2.775256379	8.313879285	8.671373037	5.602415705	5.163083934	5.5657823	6.355135622	5.931202919	5.854639548	5.660406156	5.356508845	7.672169102	5.536248973	4.832185468	8.813604273	5.600395198	6.34838195	5.695012185	4.714211516	8.515526318	7.574732193	5.754729683	6.211209805	6.297672803	5.775698643	7.069703119	5.111951081	5.336731781	6.638344141	6.734996386	3.888446226	6.340045423	5.737615358	9.379185195	5.818858775	7.881967761	6.513569125	6.074549244	3.581803092
MT2A	11.34836247	7.844650323	9.77261062	11.68182454	6.333760017	9.523466038	11.38876048	9.343184512	9.93146107	12.97416706	10.4562927	11.27615837	10.8234918	13.33407058	9.349606898	13.40321563	12.43565478	10.23707469	10.83409569	11.69943919	11.63968846	14.14149689	12.38217195	13.3218628	8.664278683	9.109070972	8.242823823	10.97617286	9.781782662	10.23765306	10.51875738	13.7654689	11.37834079	9.569680656	11.88291784	9.907823566	10.09340432	10.23720794	10.70485589	11.98107363	10.49428637	11.65870872	8.247889002	6.528679264	8.617342104	14.17229963	9.556534567	7.171274513	7.656621376	6.290046116	7.467961974	6.696523958	8.640666693	9.292675308	6.157482559	8.022261257	8.551524217	9.191799611	8.627994601
CYP4B1	5.716546311	7.770423848	7.21167012	2.462868354	1.537848188	4.400673455	4.937247257	5.160441039	5.123020117	2.994020184	7.574975101	6.831326254	4.935656212	0	2.40534589	0	0	6.570451169	4.886678734	0	2.813845462	4.415122844	3.323259502	2.117443394	8.14165565	6.699159219	8.006380512	8.342929766	6.234032177	5.79939705	6.842668314	4.082971059	2.505440149	6.305239898	5.674442301	8.032852989	4.334987785	6.604355371	3.842291905	6.005286512	5.934235031	5.302083766	7.544982471	9.699904044	6.832968774	0	7.162753748	7.925758567	8.315041905	8.201418155	7.121031539	6.873621554	7.643070099	6.367037604	7.808782076	7.536147701	7.763332055	9.567627689	3.632548771
PLEKHG6	7.618205076	5.960329093	7.23967862	3.534617951	6.423865895	3.609394862	4.417925526	5.975065999	4.8296761	5.734758959	5.688743034	4.977117693	1.808934859	5.328626253	5.283251173	0	4.511959158	4.572731322	4.377677613	3.83009052	5.580766782	6.132116658	4.808781382	4.835355932	4.789816386	5.986352063	5.730853786	5.156499542	5.217883079	4.931212545	4.825182406	4.759972946	4.591915013	4.132601446	6.241891503	4.107039056	3.540204202	3.731734727	3.778979185	7.730540754	5.794079825	4.902356735	5.538485835	5.732996456	5.536673685	5.690613802	5.30436116	6.835561361	6.720205059	7.127767676	4.865629427	5.739606832	4.768836303	7.423174113	4.929658966	7.53002869	5.149177334	5.918245572	4.414039651
PRRX1	10.93150529	4.343325722	6.654865969	8.075233502	4.276285811	4.244231842	7.737451628	6.496672312	8.643940282	10.11922915	6.416402474	5.576970471	7.056519802	9.703394152	6.752570567	8.929381726	8.325653349	8.88308929	7.767753323	8.684339593	7.162412471	10.51276411	9.121529299	9.831879037	5.259103578	7.949708785	7.230514691	6.473403895	6.959556133	8.476952634	6.501163706	10.15910953	7.969225857	6.420337768	8.908383103	7.407823357	8.554929963	7.38820885	7.252630316	9.319151871	8.034047196	7.507543007	5.419097	3.239089897	5.941958753	10.10834825	6.388214101	5.498380871	6.384766857	2.897720022	4.582690041	5.967903638	5.391719521	7.797461571	2.272243858	4.750835102	6.943045819	5.879813252	4.053398118
GLIPR1	0	5.403187984	5.539913103	7.485975317	4.2817267	5.493684865	5.152897015	6.099920468	5.800228203	6.588181371	7.448015683	6.191454815	7.203599646	5.141100697	6.527202551	6.767993163	7.389785147	7.874509444	6.450894473	3.878930583	5.563885613	4.415122844	6.030152051	6.334933402	6.300625652	6.4109603	6.50126351	7.028566303	6.743675811	5.02136355	6.969171342	5.846490995	6.737049342	6.420337768	4.630095252	6.48682864	6.515516544	6.694331161	5.541392611	4.109395251	5.865858737	5.784839209	5.244666986	4.549030091	6.613916494	5.438896179	6.800313291	5.894445924	6.181137298	4.588860422	7.540267434	6.585249823	6.656263486	3.816273474	3.672643439	4.456076846	6.111733558	6.076549671	5.162184323
BHMT	4.668710764	10.69284275	10.51529555	0	8.13355745	0	0	5.3911966	1.47992495	4.202987611	8.530431175	0	1.614465711	5.901572077	6.106484103	0	1.612631381	4.251562478	0	9.440723522	2.694836424	0	3.921947156	1.971529819	5.223840853	8.634678794	5.714963232	5.814024996	4.668620846	0	5.486301027	0	0	6.4844483	3.986563091	2.589102009	1.298359148	4.903490285	0	3.326762235	6.528001438	2.023530018	0	6.237314026	3.768777099	3.04181974	3.028930929	9.694152172	7.045620412	3.229207268	1.321177743	4.885304152	0	10.65119654	5.807195881	9.551102793	3.355471495	3.979569302	0
HMGCS2	6.739882157	6.554544617	7.221066834	0	7.829911124	0.718360699	0	9.216654777	2.946737099	0	6.072555162	2.05951559	3.422336808	0	7.663507049	0	0	7.040125685	4.716148073	5.540515141	0	4.977366622	0	0	9.6054165	5.893885798	1.734215907	7.218970768	8.992158758	2.413632092	8.335577639	0	2.194549351	4.266260102	5.055253986	1.68414028	3.255265203	8.125961389	2.028283713	4.503383936	5.319015914	5.233201694	3.978716078	8.498049062	6.146588129	3.21239887	8.232905405	7.430519843	5.337977385	8.479024819	1.675601481	10.04752586	5.064000125	10.45150214	6.98601384	9.376247968	4.701379928	9.296345055	0.598741085
