	WYK3299	WYK3300	WYK3301	WYK3302	WYK3305	WYK3307	WYK3308	WYK3311	WYK3313	WYK3314	WYK3320	WYK3325	WYK3329	WYK3331	WYK3333	WYK3336	WYK3338	WYK3339	WYK3340	WYK3341	WYK3343	WYK3346	WYK3347	WYK3349	WYK3350	WYK3352	WYK3354	WYK3355	WYK3356	WYK3357	WYK3359	WYK3360	WYK3361	WYK3362	WYK3363	WYK3364	WYK3366	WYK3367	WYK3369	WYK3371	WYK3372	WYK3373	WYK3374	WYK3375	WYK3376	WYK3377	WYK3379	WYK3381	WYK3382	WYK3383	WYK3384	WYK3385
MT2A	6.84085106	10.48801463	10.06785161	9.894487633	10.28810611	9.01316992	10.73588937	10.52197718	8.248501857	8.838957146	8.978784242	9.980480458	9.966971889	10.32675559	9.49748591	9.887423654	10.03599488	8.622983922	12.34236366	11.52213364	12.2816121	10.60443127	10.10553162	9.081032215	10.20762932	10.35445509	11.67396015	9.018391949	9.723753208	8.788744096	8.451474567	10.03369023	10.42487789	11.45503097	8.904415997	7.015898195	8.558525465	9.017532328	10.1602791	10.13030052	7.467784642	8.805918023	11.04842711	8.180153787	9.048889878	8.532406202	10.53260953	9.192246708	11.07044571	11.28605034	10.71350749	9.146936931
CYP4B1	4.1647349	2.695495596	6.359115833	4.457668901	5.343246745	5.008163057	7.665351919	5.643263528	3.478494437	5.8099771	2.428659951	3.143164491	5.987003382	4.450650965	2.468328933	2.365907847	7.263600568	7.113611778	5.454580655	0	0	5.059729517	5.340211388	6.591412957	2.586030909	5.257152021	0	4.844731868	5.035318569	4.206109672	4.312397985	0	6.343670167	4.328500161	7.590545099	9.186135119	7.533401297	4.561476473	6.21790541	2.7672396	7.121097	3.311950682	4.532075137	5.637481882	6.428889212	5.410114341	3.019579555	7.268480877	4.698684288	3.212934527	7.149618332	3.364809073
PLEKHG6	3.018264853	5.652482576	3.243665744	5.258729045	2.369590415	5.008163057	0	5.072662189	0	3.685726733	0	3.143164491	6.179667998	6.140676991	4.52766992	1.38722113	4.39827376	4.506852846	5.499355885	2.9796469	0	4.616428305	3.476486254	3.987083843	5.539002273	3.055844001	5.864550318	5.807933245	5.39807447	5.578941129	3.651935267	3.027000728	7.037261367	5.292142407	2.519649967	6.367780119	5.15610941	3.407392956	5.711614985	3.814354659	3.668691588	2.538300587	2.889049955	3.52124685	4.798207281	4.288815352	3.72108741	4.58460494	3.294601714	3.249248049	5.396478159	4.051947588
PRRX1	4.02648629	6.937889652	7.531092525	8.519104328	7.673749087	7.410240036	7.47372174	8.341027114	9.298645084	5.852930643	5.565122331	8.137611394	9.519641251	9.736484959	7.444598507	6.235041644	7.009957021	7.220158951	8.130473396	7.554848314	11.04042146	9.121215834	8.719144001	8.282119921	7.612635633	7.868967133	9.682633188	7.25405777	7.848501934	6.962154818	5.843656213	9.122692362	8.799357723	7.569886198	7.02755703	5.908631201	6.238640459	8.24527535	8.144029355	8.088711331	6.748442343	7.443984177	6.601657451	6.898700465	7.478522543	6.893854076	8.708801752	7.312111835	9.243450378	7.506286679	8.309441798	7.606050555
GLIPR1	5.054493254	7.3206211	7.054423089	7.252406682	6.773027637	6.65164277	6.002830845	5.643263528	7.48538328	5.193940793	5.977309955	7.07575084	6.097197793	5.160981238	7.157486609	7.154746984	7.334141506	7.108336418	5.849889815	6.922124915	5.744963183	6.779030534	7.198529679	7.328378653	7.311680146	6.701623553	5.201259066	6.628872817	6.323280772	6.183602372	6.430677446	6.691402967	0	5.220078407	6.560927921	5.702246744	6.147539057	6.019706377	6.48682128	6.71374974	6.891213126	7.409420826	6.963329873	7.090138318	5.952746881	6.883744347	6.47331264	6.98245569	6.591968792	6.919664308	5.292195241	6.881415169
BHMT	7.594685106	0	0	0	2.369590415	6.140756154	0	4.761411922	0	0	4.835728995	0	0	4.663587123	0	0	6.65963376	0	4.13651852	0	0	4.779803415	0	1.716224036	0	0	0	4.401232173	3.059504058	0	0	0	0	0	1.496173131	0	5.543235597	0	2.605007785	0	1.974258107	2.35671771	0	3.469680715	5.852275028	3.560169825	0	2.680406573	0	0	0	0
HMGCS2	3.873572014	0	0	6.147926436	3.962345765	4.643038088	9.152617796	4.925414556	0	0	2.730418858	0	0	0	0	1.726048697	8.037816005	0	6.414850454	0	0	0	0	7.294645034	2.472356619	5.650045127	0	8.472856991	4.303762675	5.64468277	1.277404074	4.017579814	4.957939555	8.338260563	3.926311513	0	7.991935555	0	6.440657091	0	6.224274267	1.767452111	0	5.893722776	7.31118635	8.094763008	3.664435545	5.683248051	4.100642379	1.531479842	2.973345026	4.607621637
PPFIBP2	6.535722224	3.822386535	0	4.603091287	4.143375106	4.837120848	6.002830845	3.813646834	3.34980325	3.864289036	2.860517654	3.930238093	3.178710339	0	4.280834954	4.000300535	5.476432686	5.244096033	3.748567578	3.720972188	0	0	4.303195695	5.501008009	3.731578386	4.751549969	0	6.90140164	4.113044728	3.362572307	4.232683925	3.803374792	0	0	5.545519128	5.602597135	5.331913731	4.120520638	4.560429062	3.843832427	5.437665209	4.646463182	3.407588923	5.689122641	5.286178263	6.592442486	2.477747809	5.625128431	4.037527049	4.26297151	3.779051901	4.450614281
FAM174B	8.356181593	5.96233943	4.966110395	6.049843267	3.75529693	6.188984037	6.672441265	8.171658147	4.649471135	3.109275379	6.829464704	5.427000502	6.594739688	5.823851811	5.58957927	4.533486684	6.524510743	5.081316818	6.837328313	4.032575563	0	5.495607259	4.772946482	6.637684119	5.647733303	5.630809834	5.00082851	6.969929708	6.98347046	3.728700261	2.743320343	6.116504409	7.530020067	6.647815901	7.379577119	7.81023679	6.32432921	5.548135488	5.954367891	4.414686347	5.419826978	4.410523094	4.317029723	5.917973494	7.116457953	6.284529659	5.591743595	5.819061254	5.67063547	3.353006748	7.217626966	6.046836485
PRKCDBP	5.146371106	7.461793762	7.339561291	8.491346725	7.673749087	7.776571402	7.367430735	8.744006275	7.268152567	5.193940793	6.177827114	7.641790901	8.113131758	8.310500892	7.375373803	6.967876826	6.743160603	6.904305155	7.508472483	6.629656117	8.690929761	8.560207506	7.773550322	6.884412831	7.419127016	7.136109909	7.753167574	7.25405777	7.372183723	7.008671166	5.878994564	7.983435226	6.613622656	6.503494799	6.938267202	5.110189792	6.864470975	7.187052582	7.262268102	7.670306492	6.693823477	7.566687303	6.460876258	7.966584087	7.230926777	7.58078192	7.874008077	7.482733425	8.13336195	6.387560168	7.35338553	7.219873649
FAP	2.809274847	6.217269863	5.970955132	6.627528575	4.448882429	4.497436387	0	4.114907355	3.705839108	3.777768704	3.757611885	6.145660051	6.238567158	0	5.95554975	4.996838336	4.668972186	4.897807479	4.245672107	6.082360797	0	4.779803415	6.237667524	6.120447129	5.942708961	4.640528938	4.490202005	6.267672355	5.556404119	6.79367542	4.550185319	6.533312605	0	0	5.958457521	5.27687248	4.1020887	4.296845	3.155160397	6.218620602	4.595013876	5.695950896	4.912960012	4.654677088	4.656430363	5.240908338	5.464788525	5.564568794	6.03615274	7.165115201	4.363281331	6.307145645
UPK1A	12.1215635	3.706097039	0	5.707846848	5.786159069	11.14622587	8.87076605	7.388277188	2.166006611	2.605571844	0	0	4.331315464	12.20572801	0	2.854425373	9.151750128	4.848035872	8.553099554	2.771515703	0	4.616428305	2.184528612	4.372577429	3.780161764	4.601538609	3.936984277	6.868640925	6.768381247	7.097432658	1.167371503	3.60568946	5.238981762	7.246231318	9.471451218	8.52286864	8.509061769	0	9.789602178	4.333891199	8.428454227	6.41788223	1.96814517	6.473849477	8.833554704	7.472520241	3.605467821	8.026233129	7.080962995	2.576137065	3.431728105	5.967912572
